"Site Title","Site Url","Percentage Used","Storage Used (MB)","Storage Quota (MB)"
"Central de Business Intelligence Skylan Technology","https://skylan.sharepoint.com/sites/business","1,37","28","2048"
"Centro de Descoberta Eletr?nica","https://skylan.sharepoint.com/Sites/eDiscoveryCenter","1","3","300"
"PowerSky - Prom?quina","https://skylan.sharepoint.com/sites/PowerSky-Promquina","0","1","1048576"
"Atendimento","https://skylan.sharepoint.com/sites/Atendimento","0","2","1048576"
"BNI PROSPERUS","https://skylan.sharepoint.com/sites/BNIPROSPERUS","0","3","1048576"
"REVER - PROJETO SegInfo e LGPD - Fase 2","https://skylan.sharepoint.com/sites/REVER-PROJETOSegInfoeLGPD-Fase2","0","1","1048576"
"SKYLEADER - PEND?NCIAS E TAREFAS","https://skylan.sharepoint.com/sites/SKYLEADER-PENDNCIASETAREFAS","0","2","1048576"
"Documentos - Restrito","https://skylan.sharepoint.com/sites/CentrodeDocumentos-SkylanTechnology-Restrito","0","18","1048576"
"Treinamentos","https://skylan.sharepoint.com/sites/Treinamentos","0","1","1048576"
"Manos da TI","https://skylan.sharepoint.com/portals/Manos-da-TI","0","1","1048576"
"Fechamento","https://skylan.sharepoint.com/sites/Fechamento","0","1","1048576"
"BOARD","https://skylan.sharepoint.com/sites/BOARD","0","28","1048576"
"PowerSky - Bufalo","https://skylan.sharepoint.com/sites/PowerSky-Bufalo","0","1","1048576"
"SkySales","https://skylan.sharepoint.com/sites/SkySales","0","1","1048576"
"SkyControl","https://skylan.sharepoint.com/sites/SkyControl","0","1","1048576"
"Power Sky - Redex","https://skylan.sharepoint.com/sites/PowerSky-Redex","0","1","1048576"
"PowerSky - Spot","https://skylan.sharepoint.com/sites/PowerSky-Spot","0","1","1048576"
"T?cnica Semanal","https://skylan.sharepoint.com/sites/TcnicaSemanal","0","3","1048576"
"PowerSky-Metaplas","https://skylan.sharepoint.com/sites/PowerSky-Metaplas","0","1","1048576"
"Startup da Entrega","https://skylan.sharepoint.com/sites/StartupdaEntrega","0","1","1048576"
"MEGAVIG - PROJETO SegInfo e LGPD","https://skylan.sharepoint.com/sites/MEGAVIG-PROJETOSegInfoeLGPD","0","1","1048576"
"Gest?o de Tecnologia","https://skylan.sharepoint.com/sites/GestodeTecnologia","0","1","1048576"
"Skylearn","https://skylan.sharepoint.com/portals/Skylearn","0","1","1048576"
"Networking","https://skylan.sharepoint.com/sites/Networking","0","1","1048576"
"PCSI - Scoop&Co","https://skylan.sharepoint.com/sites/PCSI-ScoopCo","0","1","1048576"
"GMUD rede interna Delta/Skylan","https://skylan.sharepoint.com/sites/GMUDredeinternaDeltaSkylan","0","1","1048576"
